Name,Rating,Date,flat_reviews
Glenn B,5.0,Nov 2 2024,"brings,back,,original,horror,,73"
Ricardo d,3.5,Oct 20 2024,",roteiro,trap,,premises,major,,tambov,tent,amarrar,months,com,,file,original,squanto,,,é,must,boy,never,come,,personages,seguiram,com,seas,vilas,e,,,form,que,,direção,de,,eve,zero,com,os,detached,temps,times,atuações,,padre,e,da,familiar,principal,,roteiro,,conserve,dear,clark,equal,sentido,pazuzu,terms,com,,conspiração,,file,inclusive,é,,surprise,quand,else,surge,numb,reunion,,,,conspiração,,grande,é,rending,facilmente,,que,foi,,santo,broxante,tambov,,queima,de,personages,principals,,abruptamente,consider,que,foi,prejudicial,para,,conclusion,da,historic,e,,para,,segunda,temporary,,que,é,,pen,pots,,nuclei,das,freiras,,canal,de,amiss,e,,,de,began,poderiam,render,must,mais,capitals"
Ελπίδα-Hope Z,5.0,Oct 13 2024,"best,series,ever,please,make,season,3"
Shelly S,4.5,Sep 11 2024,"full,,unexpected,twists,,turns,staying,fairly,true,,blasts,novel,,fantastic,casting,,found,season,one,,,,enjoyable,,much,,,,,willing,,overlook,,family,involvement,,,end,would,certainly,recommend"
Gypsy G,5.0,Nov 10 2023,",best,horror,series,,ever,watched,,truly,loved,,series,,,stop,watching,,acting,,,special,effects,,amazing,sad,,,canceled,,one,,,favorite,shows,,,believe,,canceled,,,great,show,,,sad,,,days,,nothing,good,,watch,,finally,,found,,great,show,,exorcise,,,,canceled,,really,sad,,amazing,show,,one,,,favorites"
Gareth v,4.0,Jun 24 2023,",intrigues,,see,,direction,,show,would,take,,,telling,,,stayed,pretty,true,,,source,material,,,make,,predictable,,,also,gives,,,makes,,franchise,,success"
Yuri  S,4.0,Jul 6 2022,"com,,historic,intricate,e,reviravoltas,que,seem,,,propósito,,exorcise,se,proximal,,original,see,forward,ou,queer,,method,,red,,tres,da,igreja,é,,arch,,planejado,e,executed"
y c,4.5,Sep 3 2021,"gripping,sucked,,,straight,away,three,episodes,,,stopped,,decided,,wait,till,,weekend,,,could,tinge"
farah r,4.0,Jun 26 2021,"compelling,characters,,,intriguing,story,make,,exorcise,,series,worth,watching"
,5.0,Mar 9 2021,",worthy,,glorious,ending,,,began,pazuzu,storyline,,,,,,plus,something,,,breath,,fresh,air,,,supernatural,horror,gene,,excellent,combination,,sorely,missed,brilliant,writing,,acting,,,series,achieved,,nothing,,seize,,,70,years,,horror,moves,,devil,rides,,,pitch,,hereditary,,would,,thought,,,still,possible,,even,make,,min,movie,based,solely,around,demon,possession,let,alone,,series,,,,,actually,terrifying,,scar,yet,,also,thoughtprovoking,,actual,horror,,,,,,see,still,pretty,scar,,written,,,atmosphere,,feeling,,get,,,see,,demon,invasion,,,corrupt,church,,law,enforcement,coupled,,,evil,,human,nature,,lack,,presence,,god,,,,tell,,,,,feeling,,influenced,,god,,demon,,world,,truly,scar,,,,run,away,,towards,,,always,,,likes,,pulaski,,lynch,,many,,,mentioned,,,end,,truly,respected,,integrity,,importance,,,screenplay,,,settle,,repetition,,,horror,flick,formula,,get,,,scars,instead,searched,,new,ways,,provide,,rich,atmosphere,,fear,,horror,,,,combination,,justified,scar,scenes,,,atmosphere,fear,,innocent,hellraiser,susperia,clair,witch,,ritual,,believes,,,handful,,others"
,5.0,Jan 8 2021,",,advertised,horror,masterpiece,,,series,,,,way,,,,marine,,hill,house"
,5.0,Nov 9 2020,"whilst,,,compare,,,classic,original,,still,,respectful,enough,,,links,,,exorcise,,,work,,feel,right"
,5.0,Oct 19 2020,",davis,,back,,,take,,hammer,,,knees,,,disagree,,extremely,interesting,move,forward,,,original,movie,,,,dear,,,heart,,acting,,sublime,,,characters,,probably,knew,,,,fed,,,original,movie,,,10,episode,continuation,,regains,life,hereafterthey,would,never,work,,thank,,,,superb,leap,forward,,,classic,horror,movie"
,2.5,Oct 4 2020,",season,,,flair,,,plot,,suffered,,convincing,special,effects,,,lack,,imagination,,,came,,demon,intentions,,special,effects"
,3.5,Aug 18 2020,"it´s,awesome,,,surprise,,without,,jumpscare,factor,,soundtrack,,,great,,,,intensive,i´d,definitely,put,,work,,,,acting,,,,Have,A,Vice,May,,,solid,helping,,character,development,grow,,,story,evolved,it´s,definitely,worth,,time,,,rainy,afternoon"
,5.0,Jul 1 2020,",wish,,,,season,3,,know,,movie,,great,,,dont,get,,,,,low,rating,,,better,,,horror,series,,,,100,recommended,series,,watch"
,5.0,Jun 8 2020,",show,,great,,fox,,want,,someone,else,,,picked,,,,streamed,,seasons,,3,dayscouldnt,stop,watching"
,5.0,Apr 13 2020,"pleasantly,surprised,,,good,,series,turned,"
,0.5,Mar 29 2020,"sucks,,bad,garage,,terrible,acting"
,4.5,Oct 31 2019,",,looking,,,good,horror,gene,,series,,,pretty,solid,,actually,surprised,,,,show,,,,,notable,television,series,,,national,network"
,5.0,Nov 23 2018,"great,show,great,characters,,interesting,story"
,5.0,Oct 27 2018,",,,netflix,series,,,,,big,screen,movie,budget,,,fantastic,job,,,topic,character,ties,back,,,original,movie,,,nice,touch,really,good,horror,effects,,conspiracy,twists,good,,maintaining,pace,,tension,,,surprise,,,really,enjoyed,"
,5.0,Jul 18 2018,"verybscary,,mainstream,,,closed,,,original,movie,plot,look,forward,,,storylines,like,,,vatican,,,,infiltrated,,demon"
,5.0,Mar 18 2018,"getting,better,,better"
Joshua W,4.5,Dec 16 2017,"one,,,best,shows,,,ever,seen"
,3.0,Dec 13 2017,",bad,,,scar,enough"
,5.0,Nov 16 2017,",show,,excellent,,sound,excellent,performances,,around,complex,characters,,great,special,effects"
,5.0,Jun 2 2017,"great,show,,love,,,,wait,,season,2"
,5.0,May 29 2017,",,horror,gene,,choice,,demon,possession,,highly,recommend,,show,,,hooked,,,first,episode,,,tinge,watched,,entire,first,season,,,matter,,days,,,horror,show,,,better,,,,cast,,superior,,,story,line,,intriguing,,,continue,,watch,,,,long,,,airs"
,0.5,May 9 2017,"even,,,,comparing,,,,original,classic,,still,,boring,vacant,waste,,time"
,5.0,Mar 12 2017,"wooooooow,esperaba,pock,de,la,series,per,al,final,,ha,sorprendido,de,form,incredible,ran,calidad,de,production,e,historic"
,5.0,Feb 17 2017,",enjoyed,,show,,,seen,,,,firing,,winged,,last,night,,hull,,,stop,watching,even,though,,,4,,,morning,,really,hope,,get,renewed"
,4.0,Feb 9 2017,",fun,,fresh,series"
,4.5,Jan 15 2017,"well,filled,engaging,script,compelling,characters,,surprised,,,show"
,5.0,Jan 9 2017,"one,,,,favourite,shows,,2016,,hope,,come,back,,season,2"
,5.0,Jan 7 2017,",hope,,get,season,2"
,5.0,Jan 7 2017,",,best,series,ever,renewtheexorcist"
,1.0,Jan 4 2017,",screenwriter,,,series,,,take,,time,,learning,,,theology,,writing,,illogical,script,first,it´s,,nonsense,,,priest,character,,based,,,sinner,life,pretends,,,,power,,cast,,demon,,,wrist,,,,sure,,believe,,second,,mistaken,idea,,demon,,,saved,,non,biblical,true,invented,,,,dramatic,solution,,find,another,way,,,ritual,formula,,,successful,exorcise,demon,cannot,,saved,,indication,,saints,dead,relatives,,,virgin,mary,adds,,invention,,realism,,justify,,exorcise,,,name,,come,holy,people,,,cast,,demon,,,,,,know,jesus,said,,yes,satan,,apparently,retreat,,,exercises,,,,deceive,people,,,,,real,authority,,cast,,demon,,,bible,,,,story,,,jews,,trying,,confront,,demon,,,name,,jesus,,paul,,,,jews,heard,,,works,,,christians,,,demon,told,,,know,jesus,,paul,,,dont´know,,,,,demon,attacked,,,,ran,away,naked,,hurt,,,demon,violence,rituals,don´t,work,,casting,,demon"
,5.0,Jan 3 2017,"great,show,way,better,,,thought,,could,,hope,,see,,second,season"
,4.0,Jan 3 2017,",entertaining,,actually,,,good,job,,keeping,,god,defeats,evil,,,,man"
,5.0,Jan 1 2017,",,,,horror,show,,,able,,scare,,,exorcise,makes,every,hair,,,body,stand,,,love,,,davis,,,great,actress,,,,happy,,see,,back,,,show,,loved,,show,commander,,chief,,,canceled,,,,fan,,disappointed,,,,beautiful,woman,,would,love,,see,,,"
,4.5,Dec 28 2016,"worth,staying,,,,friday,night,great,story,fantastic,twists,actorsactresses,,right,,due,,well,written,,davis,,perfect,,,role,keep,watching,,story,gets,better,,better,,,already,,withdrawal"
,5.0,Dec 27 2016,",show,,amazing,give,watched,every,episode,,,never,disappointed,like,,many,,shows,,stayed,consistently,shocking,throughout,,season,would,really,love,,see,,second,season,,,lot,,episodes,please,bring,,show,back,,deserves,,chance"
,5.0,Dec 26 2016,"amazing,actors,unexpected,plot,twists,,overall,,great,show,stays,,true,,,original,exorcise,plot,lgbtq,friendly,1010"
,5.0,Dec 26 2016,"appreciation,,,religious,accuracies,,make,art"
,5.0,Dec 26 2016,",,,great,show,,dont,understand,,,people,,,watching,,please,lets,save,,show"
,5.0,Dec 22 2016,",show,,,awesome,,season,,,scars,,twists,,,,place,,show,,,done,,well,,would,suggest,,,,person,,loves,,good,scare"
,5.0,Dec 20 2016,"amazing,series,,want,,season"
,5.0,Dec 20 2016,"excellent,series,,want,second,season"
,5.0,Dec 20 2016,",want,,see,,seasons"
,5.0,Dec 20 2016,"smart,,scar,,much,needed,continuation,,,exorcise,sage,,wellwritten,wonderfully,acted,,beautifully,shot,shows,like,,,scarce"
,5.0,Dec 19 2016,"super,compelling,,To,He,Honest,,believe,,things,,truly,happening,,,somewhere"
,5.0,Dec 19 2016,"fantastic,,wait,,season,2,5,,,5,stars"
,4.5,Dec 19 2016,",exorcise,delivers,,strong,well,tied,plot,,,great,cast,,characters,surprisingly,,storyline,,strong,scar,,even,compelling,,return,,,davis,,,screen,,fantastic,,,ending,makes,,,definite,horror,flick,,2016,,,weak,dont,watch,alone,"
,5.0,Dec 19 2016,",,skeptically,,first,,,,pilot,going,forward,,show,exceeded,expectations,,pacing,,great,,,show,focused,,,character,development,,equal,parts,,,horror,elements,,makes,,show,,satisfying,viewing,,emotional,experience"
,5.0,Dec 19 2016,",show,,absolutely,amazing,great,acting,,well,written"
